,img_id,feat_A,feat_B,feat_C,feat_D,feat_E,label
0,PAT_1516_1765_530.png,0.1882,0.734,0.215,,False,False
1,PAT_46_881_939.png,0.1664,0.805,0.347,5.5,True,False
2,PAT_1545_1867_547.png,0.1422,0.786,0.235,,False,False
3,PAT_1989_4061_934.png,0.1789,0.738,0.169,,False,False
4,PAT_684_1302_588.png,0.0944,0.719,0.164,5.0,True,False
5,PAT_1549_1882_230.png,0.062,0.724,,,False,False
6,PAT_778_1471_835.png,0.0924,0.712,0.113,12.5,True,False
8,PAT_1995_4080_695.png,0.7265,0.916,0.474,,True,False
9,PAT_705_4015_413.png,0.3405,0.835,0.193,8.0,True,False
10,PAT_2140_4726_141.png,0.2504,0.793,0.246,,False,False
11,PAT_967_1827_247.png,0.247,0.722,0.396,4.5,False,False
12,PAT_2088_4524_465.png,0.0798,0.716,0.405,,False,False
13,PAT_636_1204_521.png,0.1666,0.811,0.306,19.0,True,False
14,PAT_38_54_234.png,0.0908,0.695,0.151,13.0,False,False
15,PAT_741_1401_619.png,0.1842,0.733,0.33,13.0,False,False
16,PAT_380_1540_959.png,0.1165,0.73,0.248,3.0,False,False
17,PAT_1783_3414_120.png,0.1212,0.776,0.232,,False,False
18,PAT_759_1538_566.png,0.0947,0.711,0.24,4.0,True,False
19,PAT_821_1547_77.png,0.181,0.779,0.123,6.0,False,False
20,PAT_1693_3103_879.png,0.4169,0.914,0.244,,False,False
21,PAT_875_1668_588.png,0.0352,0.706,0.226,10.0,False,False
22,PAT_1653_2916_346.png,0.2142,0.741,0.142,,False,False
23,PAT_1790_3425_942.png,0.0882,0.713,0.363,,False,False
24,PAT_106_159_325.png,0.157,0.759,0.247,4.0,False,False
25,PAT_435_854_68.png,0.2301,0.799,0.295,9.0,False,False
26,PAT_1902_3790_168.png,0.2402,0.803,0.15,,False,False
27,PAT_42_58_13.png,0.0722,0.726,0.229,9.5,False,False
28,PAT_302_651_529.png,0.0729,0.753,0.307,10.0,True,False
29,PAT_359_4450_86.png,0.1243,0.736,0.195,10.0,False,False
30,PAT_107_160_609.png,0.0855,0.723,0.32,8.5,True,False
31,PAT_134_201_587.png,0.2703,0.77,0.186,8.0,True,False
32,PAT_1453_1567_250.png,0.0846,0.699,0.47,,False,False
33,PAT_79_120_532.png,0.3693,0.843,0.087,6.0,False,False
34,PAT_1926_3871_371.png,0.5519,0.88,0.362,,True,False
35,PAT_724_1369_896.png,0.4137,0.764,0.188,5.0,False,False
36,PAT_1582_2574_34.png,0.2256,0.738,0.366,,False,False
37,PAT_1006_53_716.png,0.7242,0.915,0.244,,False,False
38,PAT_1431_1495_511.png,0.4343,0.889,0.219,,False,False
39,PAT_944_1795_371.png,0.1209,0.753,0.272,8.5,True,False
40,PAT_793_1512_327.png,0.4537,0.861,0.25,5.5,False,False
41,PAT_394_1562_579.png,0.0424,0.698,0.243,7.5,False,False
42,PAT_1842_3615_850.png,0.1596,0.741,0.299,,False,False
43,PAT_621_1183_56.png,0.0549,0.732,0.342,13.5,False,False
44,PAT_374_762_794.png,0.1916,0.744,0.341,6.0,True,False
45,PAT_265_406_276.png,0.0823,0.693,0.217,10.0,False,False
46,PAT_1074_322_662.png,0.7802,0.894,0.274,,False,False
47,PAT_289_1399_481.png,0.0483,0.7,0.303,5.0,False,False
48,PAT_1803_3463_639.png,0.1327,0.729,0.407,,True,False
49,PAT_1029_135_239.png,0.1386,0.729,0.197,,False,False
50,PAT_2020_4174_799.png,0.2887,0.786,0.278,,False,False
51,PAT_682_1292_986.png,0.0293,0.715,0.283,10.0,True,False
52,PAT_805_1517_154.png,0.0581,0.69,0.209,9.0,True,False
53,PAT_680_1289_182.png,0.186,0.796,0.287,10.0,True,True
54,PAT_53_1370_245.png,0.2038,0.772,0.207,19.0,True,False
55,PAT_868_1657_698.png,0.1668,0.666,,4.0,False,False
56,PAT_183_283_495.png,0.1433,0.727,0.231,8.0,False,False
57,PAT_479_919_97.png,0.2376,0.794,0.303,5.0,False,False
58,PAT_333_1469_499.png,0.4899,0.878,0.733,5.0,True,False
59,PAT_867_1650_901.png,0.1635,0.763,0.22,11.0,True,False
61,PAT_620_1176_980.png,0.1543,0.754,0.157,8.0,False,False
62,PAT_26_37_865.png,0.0847,0.735,0.376,6.0,False,False
63,PAT_2051_4356_460.png,0.2541,0.788,0.129,,False,False
64,PAT_1381_1314_517.png,0.1386,0.731,0.144,,False,False
65,PAT_544_3299_671.png,0.1056,0.708,0.235,4.5,True,False
66,PAT_2025_4229_541.png,0.7498,0.957,0.224,,True,False
67,PAT_814_1532_545.png,0.3974,0.893,0.33,30.0,True,False
68,PAT_1014_86_861.png,0.1438,0.742,0.156,,False,False
69,PAT_1984_4038_265.png,0.1025,0.721,0.493,,True,False
70,PAT_920_1747_19.png,0.6664,0.887,0.261,6.0,False,False
71,PAT_838_1585_282.png,0.2102,0.774,0.152,14.0,False,False
72,PAT_1255_876_939.png,0.2402,0.813,0.232,,True,False
73,PAT_701_4056_457.png,0.1133,0.737,0.28,7.5,False,False
74,PAT_411_815_692.png,0.1831,0.747,0.317,9.0,True,False
75,PAT_795_1508_925.png,0.5746,0.868,0.26,10.5,False,False
76,PAT_288_441_312.png,0.0385,0.714,0.278,8.0,True,False
77,PAT_692_1308_364.png,0.3058,0.819,0.228,7.5,True,False
78,PAT_1278_965_701.png,0.1445,0.775,0.218,,False,False
79,PAT_1094_381_85.png,0.8473,0.944,0.347,,False,False
80,PAT_645_4043_374.png,0.3648,0.857,0.117,5.5,True,False
81,PAT_963_1820_823.png,0.0965,0.759,0.106,6.5,False,False
82,PAT_241_367_89.png,0.5424,0.909,0.341,22.5,True,False
83,PAT_882_1677_789.png,0.1039,0.76,0.498,10.0,False,False
85,PAT_98_152_562.png,0.1557,0.752,0.359,8.0,False,False
86,PAT_995_1867_5.png,0.4729,0.899,0.325,21.5,True,True
87,PAT_1884_3730_813.png,0.1515,0.724,0.201,,False,False
88,PAT_369_755_391.png,0.1889,0.769,0.199,15.5,True,False
89,PAT_1276_957_406.png,0.0811,0.726,,,True,False
90,PAT_1070_305_907.png,0.099,0.721,0.113,,False,False
91,PAT_1688_3066_491.png,0.1781,0.747,0.284,,False,False
92,PAT_981_1848_906.png,0.0949,0.848,0.109,3.0,False,False
93,PAT_409_812_974.png,0.0682,0.707,0.421,3.5,True,False
94,PAT_276_425_539.png,0.107,0.72,0.461,4.0,False,False
95,PAT_430_848_476.png,0.108,0.72,0.345,10.0,True,False
96,PAT_419_832_706.png,0.19,0.783,0.526,11.0,False,False
97,PAT_1423_1472_18.png,0.1381,0.74,0.286,,False,False
98,PAT_55_84_506.png,0.0978,0.732,0.41,7.5,False,False
99,PAT_1710_3160_488.png,0.0837,0.765,0.284,,False,False
100,PAT_1818_3568_132.png,0.2313,0.762,0.238,,False,False
101,PAT_1414_1429_59.png,0.1558,0.73,0.355,,False,False
102,PAT_1573_2499_849.png,0.3954,0.886,0.284,,False,False
103,PAT_377_1580_534.png,0.8268,0.894,0.316,4.5,False,False
104,PAT_802_1516_910.png,0.4696,0.885,0.225,15.0,False,False
105,PAT_962_1823_942.png,0.1941,0.755,0.202,3.0,True,False
106,PAT_1109_437_254.png,0.1433,0.729,0.294,,True,False
107,PAT_241_367_374.png,0.3943,0.762,0.54,22.5,True,False
108,PAT_1210_738_915.png,0.6565,0.934,0.251,,False,False
109,PAT_1492_1705_578.png,0.0924,0.709,0.279,,False,False
110,PAT_492_937_958.png,0.1337,0.737,0.48,15.5,True,False
111,PAT_1400_1372_276.png,0.0648,0.687,0.259,,True,False
112,PAT_966_1825_584.png,0.211,0.883,0.189,8.5,True,True
114,PAT_263_404_410.png,0.0799,0.736,0.294,8.0,False,False
115,PAT_549_1043_676.png,0.1942,0.851,0.412,27.0,True,False
116,PAT_461_895_72.png,0.1651,0.76,0.42,8.5,True,False
117,PAT_875_1669_946.png,0.2108,0.822,0.648,15.0,False,False
118,PAT_1721_3219_737.png,0.2135,0.779,0.394,,False,False
119,PAT_714_1337_709.png,0.1962,0.749,0.306,13.0,True,False
120,PAT_426_842_458.png,0.1172,0.75,0.166,9.0,False,False
121,PAT_847_1610_165.png,0.1949,0.79,0.225,12.5,False,False
123,PAT_168_1486_97.png,0.0898,0.708,,6.5,False,False
124,PAT_441_861_415.png,0.1243,0.783,0.192,5.5,True,False
125,PAT_958_1812_62.png,0.1101,0.723,0.386,16.0,False,False
126,PAT_319_680_832.png,0.1679,0.737,0.35,8.5,True,False
127,PAT_999_20_223.png,0.2315,0.751,0.153,,False,False
128,PAT_1305_4097_251.png,0.0763,0.695,0.293,,False,False
129,PAT_796_1510_130.png,0.4986,0.928,0.472,25.0,False,False
130,PAT_963_1819_298.png,0.0696,0.731,0.161,8.5,False,False
131,PAT_1730_3236_7.png,0.1397,0.753,,,True,False
132,PAT_1546_1871_376.png,0.0775,0.715,0.17,,False,False
133,PAT_2154_4783_625.png,0.1312,0.832,0.311,,True,False
134,PAT_413_819_268.png,0.177,0.782,0.495,11.5,False,False
135,PAT_1414_1432_969.png,0.6664,0.851,0.177,,False,False
136,PAT_690_1309_981.png,0.0534,0.706,0.419,15.5,True,False
137,PAT_2127_4662_596.png,0.7491,0.939,0.379,,False,False
138,PAT_1552_1895_190.png,0.8616,0.869,0.331,,False,False
139,PAT_1754_3308_390.png,0.1906,0.806,0.071,,True,False
140,PAT_118_180_386.png,0.1706,0.761,0.438,4.0,True,False
141,PAT_850_1611_332.png,0.1793,0.755,0.274,3.5,False,False
142,PAT_771_1488_562.png,0.051,0.687,0.526,7.0,True,False
143,PAT_1410_1410_46.png,0.3732,0.834,0.398,,True,False
144,PAT_365_751_709.png,0.1187,0.733,0.226,10.0,True,False
145,PAT_63_1075_498.png,0.1482,0.728,0.373,12.5,True,False
146,PAT_207_3951_140.png,0.5412,0.97,0.294,13.5,False,False
147,PAT_483_925_716.png,0.3209,0.827,0.46,8.5,True,False
148,PAT_358_738_837.png,0.133,0.767,0.166,7.0,False,False
149,PAT_875_1670_121.png,0.0326,0.708,0.212,8.5,False,False
150,PAT_645_1300_463.png,0.0727,0.686,0.308,6.0,True,False
151,PAT_514_967_300.png,0.1247,0.71,0.152,9.0,True,False
152,PAT_1286_1000_517.png,0.1606,0.714,0.386,,False,False
153,PAT_330_698_211.png,0.1516,0.738,0.257,14.5,False,False
154,PAT_1062_264_741.png,0.1076,0.744,0.296,,False,False
155,PAT_792_4351_858.png,0.1069,0.712,0.112,5.0,False,False
156,PAT_1728_3234_299.png,0.3997,0.878,0.323,,False,False
157,PAT_722_1377_120.png,0.1452,0.731,0.407,11.5,False,False
158,PAT_2076_4459_450.png,0.1189,0.742,0.145,,False,False
159,PAT_280_431_466.png,0.1562,0.748,0.266,7.5,True,False
160,PAT_2008_4126_489.png,0.8148,0.957,0.186,,False,False
161,PAT_1411_1414_355.png,0.0928,0.709,0.283,,False,False
162,PAT_655_926_447.png,0.7052,0.934,0.221,8.0,False,False
163,PAT_1651_2914_833.png,0.6708,0.98,0.296,,False,False
164,PAT_966_1825_546.png,0.3254,0.781,0.31,8.5,True,True
165,PAT_396_796_394.png,0.1065,0.701,0.44,6.5,True,False
166,PAT_1701_3135_5.png,0.1505,0.699,0.196,,False,False
167,PAT_2042_4301_636.png,0.2215,0.757,0.284,,True,False
168,PAT_216_331_678.png,0.3504,0.851,0.19,8.0,False,False
169,PAT_747_1408_427.png,0.1316,0.715,0.238,12.5,True,False
170,PAT_691_1311_686.png,0.1243,0.696,0.242,17.5,True,False
171,PAT_34_47_108.png,0.1293,0.715,0.196,9.5,False,False
172,PAT_1277_964_152.png,0.1865,0.738,0.357,,False,False
173,PAT_361_1568_456.png,0.1716,0.747,0.284,9.5,False,False
174,PAT_162_252_773.png,0.1529,0.807,0.399,8.5,False,False
175,PAT_1794_3435_711.png,0.5449,0.951,0.132,,False,False
176,PAT_1702_3548_386.png,0.1023,0.766,0.31,,False,False
177,PAT_267_412_275.png,0.1796,0.805,0.281,14.5,True,False
178,PAT_395_795_43.png,0.228,0.735,0.284,13.5,False,False
179,PAT_465_901_627.png,0.1134,0.701,0.354,3.0,True,False
180,PAT_306_1646_903.png,0.9454,0.916,0.155,10.0,False,False
181,PAT_249_380_366.png,0.069,0.694,0.224,5.0,False,False
182,PAT_985_1856_397.png,0.3501,0.875,0.391,11.5,True,False
183,PAT_458_891_709.png,0.1161,0.699,0.182,6.0,True,False
184,PAT_747_1410_179.png,0.1332,0.734,,8.5,True,False
185,PAT_1316_1114_517.png,0.2607,0.74,0.147,,False,False
186,PAT_398_799_163.png,0.2928,0.747,0.538,5.5,False,False
187,PAT_953_1806_326.png,0.1363,0.728,0.209,8.5,True,False
188,PAT_466_903_893.png,0.1634,0.789,0.387,5.0,True,False
189,PAT_1132_508_325.png,0.184,0.73,0.139,,False,False
190,PAT_300_648_84.png,0.0478,0.711,0.247,4.5,False,False
191,PAT_82_125_365.png,0.0491,0.721,0.562,14.0,True,False
192,PAT_478_916_806.png,0.1458,0.737,0.29,21.0,True,False
193,PAT_1089_375_677.png,0.0407,0.69,0.214,,True,False
194,PAT_76_1039_269.png,0.2803,0.813,0.256,19.0,True,False
195,PAT_663_1254_732.png,0.1147,0.708,0.295,12.5,True,False
196,PAT_206_312_760.png,0.3338,0.829,0.316,12.0,False,False
197,PAT_1566_2435_150.png,0.1333,0.743,0.19,,False,False
198,PAT_1955_3947_778.png,0.4861,0.952,0.231,,True,False
199,PAT_1638_2878_536.png,0.3425,0.831,0.197,,False,False
200,PAT_1298_1051_831.png,0.0647,0.702,0.616,,True,False
201,PAT_167_258_711.png,0.1998,0.745,0.428,8.5,True,False
202,PAT_54_83_405.png,0.6245,0.983,0.135,5.0,False,False
203,PAT_997_14_40.png,0.8468,0.864,0.233,,False,False
204,PAT_373_761_708.png,0.1502,0.735,0.432,6.0,True,False
205,PAT_1509_1741_810.png,0.1745,0.776,0.209,,False,False
206,PAT_228_348_535.png,0.7243,0.848,0.42,3.5,True,False
207,PAT_1871_3666_675.png,0.1161,0.781,0.295,,False,False
208,PAT_547_1033_911.png,0.052,0.701,0.303,4.0,True,False
209,PAT_1582_2574_890.png,0.7798,0.975,,,False,False
210,PAT_56_86_479.png,0.2442,0.866,0.425,22.0,True,False
211,PAT_699_1320_901.png,0.1179,0.716,0.424,5.0,True,False
212,PAT_221_339_566.png,0.2678,0.845,0.208,7.5,True,False
213,PAT_803_1522_907.png,0.112,0.723,0.234,7.5,False,False
215,PAT_115_175_206.png,0.2386,0.741,0.331,7.0,True,False
216,PAT_759_1433_973.png,0.0716,0.713,0.237,15.0,False,False
217,PAT_782_1493_140.png,0.6409,0.885,0.301,9.0,False,False
218,PAT_1942_3915_388.png,0.1215,0.743,0.344,,True,False
219,PAT_1125_492_523.png,0.1015,0.704,0.327,,False,False
220,PAT_256_394_449.png,0.5179,0.98,0.264,5.5,True,False
221,PAT_385_783_574.png,0.1486,0.775,0.29,11.5,True,False
222,PAT_721_1365_142.png,0.1089,0.734,0.33,12.5,True,False
223,PAT_940_1774_962.png,0.316,0.815,0.343,14.0,False,False
224,PAT_316_674_924.png,0.3436,0.849,0.623,8.5,True,False
225,PAT_243_372_119.png,0.6948,0.894,0.377,7.5,False,False
226,PAT_1094_381_446.png,0.7008,0.871,0.163,,False,False
227,PAT_412_818_61.png,0.1249,0.751,0.316,5.0,True,False
228,PAT_359_740_46.png,0.0599,0.698,0.192,4.5,False,False
229,PAT_842_1606_720.png,0.1936,0.745,0.283,26.0,True,False
230,PAT_1082_342_705.png,0.1591,0.702,0.158,,False,False
231,PAT_1821_3575_920.png,0.247,0.815,0.231,,False,False
232,PAT_526_991_109.png,0.1561,0.706,0.463,6.0,True,False
233,PAT_1460_1598_959.png,0.0788,0.717,0.172,,True,False
234,PAT_15_1001_749.png,0.5722,0.917,0.255,4.0,False,False
235,PAT_1547_1874_432.png,0.3597,0.862,0.24,,False,False
236,PAT_880_1673_410.png,0.1293,0.718,0.177,9.0,False,False
237,PAT_730_1383_535.png,0.1058,0.733,0.212,6.0,False,False
238,PAT_948_1801_993.png,0.1564,0.719,0.756,2.5,True,False
239,PAT_962_1823_857.png,0.136,0.737,0.312,3.0,True,False
240,PAT_21_982_266.png,0.1599,0.72,0.151,6.5,False,False
241,PAT_839_1591_204.png,0.5654,0.906,0.241,3.5,False,False
242,PAT_257_395_866.png,0.0373,0.701,0.397,17.5,False,False
243,PAT_1217_762_198.png,0.0627,0.714,,,True,False
244,PAT_397_798_482.png,0.097,0.727,0.456,17.0,True,False
245,PAT_1481_1674_735.png,0.1541,0.738,0.199,,False,False
246,PAT_665_1262_774.png,0.1204,0.716,0.431,6.0,False,False
247,PAT_976_1837_861.png,0.0908,0.74,0.339,30.0,True,False
248,PAT_827_1600_1000.png,0.1086,0.718,0.289,13.0,False,False
249,PAT_1764_3335_366.png,0.2798,0.755,0.378,,True,False
250,PAT_645_1223_124.png,0.2546,0.772,0.329,7.5,True,False
251,PAT_185_285_862.png,0.1361,0.761,0.231,10.0,True,False
252,PAT_1333_1177_261.png,0.0995,0.713,0.175,,True,False
253,PAT_1461_1600_867.png,0.0718,0.72,0.347,,True,False
254,PAT_1658_2933_322.png,0.1476,0.752,0.136,,True,False
255,PAT_1013_82_876.png,0.0492,0.733,0.273,,False,False
256,PAT_2066_4417_201.png,0.1077,0.723,0.349,,True,False
257,PAT_1027_128_854.png,0.723,0.808,0.31,,False,False
259,PAT_1593_2651_122.png,0.0895,0.766,0.438,,False,False
260,PAT_375_763_732.png,0.1369,0.723,0.238,7.0,True,False
262,PAT_495_941_26.png,0.1902,0.786,0.342,12.5,True,True
263,PAT_535_1012_145.png,0.185,0.757,0.167,9.5,False,False
264,PAT_1583_2607_628.png,0.1731,0.774,0.17,,False,False
265,PAT_121_184_502.png,0.0931,0.708,0.22,7.0,True,False
266,PAT_614_1166_885.png,0.2457,0.834,0.454,12.0,True,True
267,PAT_524_987_738.png,0.0684,0.724,0.233,7.5,False,False
268,PAT_381_775_566.png,0.0412,0.713,,18.0,True,False
269,PAT_1774_3352_474.png,0.1859,0.794,0.314,,False,False
270,PAT_375_763_980.png,0.1507,0.699,0.114,7.0,True,False
271,PAT_79_120_739.png,0.2596,0.831,0.108,6.0,False,False
272,PAT_587_3431_6.png,0.207,0.773,0.256,12.5,False,False
